English,Russian,Level,Topic,POS,Example,Example_ru,Freq,Test_Example,Test_Example_ru
student,"студент, слушатель, ученик",A2,education,noun,She is a diligent student.,Она прилежная студентка.,22082.0,"So the student becomes... the failed student, the dropout","И ученик стал... провалившимся учеником, выбывшим."
teach,"обучать, преподавать",A2,education,verb,I teach English.,Я преподаю английский.,22015.0,The aim of the project is to teach as many people as possible so that they can teach and spread the experience themselves,"Задача проекта - научить как можно больше людей, чтобы они могли сами преподавать и распространять опыт."
studied,учился,A2,education,verb,I studied for the exam.,Я готовился к экзамену.,22007.0,He also studied piano with Winnifred Rees,Пол также учился играть на фортепиано с Уиннифред Рис (Winnifred Rees).
studying,"изучение, обучение, учеба",A2,education,verb,I am studying for my exam.,Я готовлюсь к экзамену.,21996.0,I am studying for my exam.,Я готовлюсь к экзамену.
taught,"научил, учил, учили",A2,education,verb,She taught English to children.,Она преподавала английский детям.,21969.0,She taught English to children.,Она преподавала английский детям.
library,библиотека,A2,education,noun,I borrowed a book from the library.,Я взял книгу в библиотеке.,21963.0,Powerful class library... NET provides a single class library for all supported languages,"Обширная библиотека классов... NET Framework обладает единой, унифицированной библиотекой классов, с которой работают все поддерживаемые языки."
lesson,урок,A2,education,noun,I have a math lesson.,У меня есть урок по математике.,21948.0,Maybe it is the main botany lesson,"И в этом состоит, быть может, самый главный урок ботаники."
elementary,"начальный, элементарный, простейший",A2,education,adjective,elementary school,начальная школа,21919.0,Berzelius was also the first person to produce elementary tantalum,"Кроме того, Берцелиус стал первым человеком, который получил элементарный тантал."
homework,"домашнее задание, домашняя работа, задание",A2,education,noun,I have a lot of homework.,У меня много домашней работы.,21915.0,My homework was easier than I expected,"Моё домашнее задание оказалось легче, чем я ожидал."
learnt,"узнал, выученный",A2,education,verb,I learnt a new word.,Я выучил новое слово.,21896.0,I learnt all my good words from that album,Я узнал все «хорошие» слова из этого альбома».
textbook,"учебник, учебное пособие, пособие",A2,education,noun,I need a textbook for my class.,Мне нужен учебник для моего класса.,21894.0,And their only textbook should be the treasures of nature,И их единственный учебник должен быть сокровищами природы» (Э. Уайт.
tutor,"репетитор, преподаватель, воспитатель",A2,education,noun,I hired a tutor for math.,Я нанял репетитора по математике.,21893.0,Sorry. Private tutor can't write it,"Как обидно, домашний репетитор не может написать это слово."
handwriting,почерк,A2,education,noun,improve your handwriting,улучшить своё почерк,21889.0,I can't understand my own handwriting,А то я уже даже свой почерк не могу разобрать.
learner,учащийся,A2,education,noun,English learner,ученик английского языка,21882.0,Such findings may be explained by assuming that the learner encodes this animal category as part of his memory for each word,"Такие выводы можно объяснить, если предположить, что учащийся кодирует эту категорию животных как часть своей памяти для каждого слова."
cheer up (sb) or cheer (sb) up,взбодриться (sb) или взбодриться (sb) вверх,A2,emotion,phrasal verb,"Cheer up, it's not that bad.","Взбодрись, это не так уж плохо.",38378.0,"Cheer up, it's not that bad.","Взбодрись, это не так уж плохо."
burst into tears,"расплакаться, разрыдаться, заплакать",A2,emotion,phrase,She burst into tears.,Она разрыдалась.,26027.0,"Sensitive children tend to burst into tears any time they experience a strong emotion, whether it's embarrassment or frustration","Чувствительные дети готовы расплакаться каждый раз, как только испытывают сильные эмоции, будь то смущение или грусть."
fear,"страх, опасение, боязнь",A2,emotion,noun,fear of heights,страх высоты,22261.0,"It inspires fear, and fear causes weakness","Гнев имеет своим источником страх, а вот страх возникает от слабости."
anger,"гнев, ярость, злость",A2,emotion,noun,expressing anger,выражение гнева,22031.0,"Do not be prone to anger, for anger leads to murder","Не отдавайся гневу, ибо гнев ведет к убийству."
worry,беспокоиться,A2,emotion,verb,"Don't worry, everything will be fine.","Не волнуйся, все будет хорошо.",22027.0,I see them daily and worry about their safety,Не хочу каждый день переживать за них и беспокоиться об их безопасности.
surprised,"удивленный, изумленный, пораженный",A2,emotion,adjective,I was surprised to see you.,Я был удивлен увидеть тебя.,22006.0,I guess they were both surprised,"Я уверен, что они оба были удивлены."
joy,радость,A2,emotion,noun,She felt pure joy.,Она почувствовала истинное счастье.,22004.0,I want him to feel joy in victory,"Чтобы заинтересовать его игрой, он должен почувствовать радость победы."
afraid,"боюсь, боятся, боится",A2,emotion,adjective,I'm afraid of spiders.,Я боюсь пауков.,22003.0,I'm afraid of spiders.,Я боюсь пауков.
angry,"сердитый, недовольный, гневный",A2,emotion,adjective,I am angry with you.,Я злюсь на тебя.,21992.0,"I wasn't angry, you know","Да я была вообще никакая от горя, ты же знаешь."
glad,рад,A2,emotion,adjective,I'm glad to see you.,Я рад тебя видеть.,21964.0,I'm very glad you came,"Я очень рад(а), что вы пришли."
sad,"грустный, печальный",A2,emotion,adjective,I feel sad today.,Я сегодня грустный.,21964.0,But a sad person is sad in any country,"Получается, печальный человек печален везде."
sadly,печально,A2,emotion,adverb,"Sadly, she couldn't attend the party.","К сожалению, она не смогла прийти на вечеринку.",21954.0,Archbishop John looked at her sadly and went upstairs,Архиепископ Иоанн посмотрел на нее печально и поднялся наверх к себе.
worried,"взволнованный, обеспокоенный, озабоченный",A2,emotion,adjective,I'm worried about the test.,Я беспокоюсь о тесте.,21952.0,I wouldn't say we're worried,"«Я бы не сказал, что мы переживали."
scared,"напуганный, запуганный",A2,emotion,adjective,I am scared of spiders.,Я боюсь пауков.,21951.0,Tom was as scared as Mary,"Том был напуган так же, как Мэри."
shocked,"потрясенный, шокированный, пораженный",A2,emotion,adjective,I was shocked by the news.,Я был шокирован новостями.,21915.0,I was shocked when I read..,"Я просто был в шоке, когда прочел..."
sadness,"печаль, грусть, уныние",A2,emotion,noun,feeling of deep unhappiness,чувство глубокой несчастности,21909.0,In their memory he turned his anger and sadness into resolve,"В память о них, он обратил свой гнев и печаль в решительность."
weep,"плакать, рыдать, оплакивать",A2,emotion,verb,She wept tears of joy.,Она плакала от счастья.,21888.0,It makes me weep a little inside,Это заставляет меня плакать немного внутри.
sobbing,рыдание,A2,emotion,verb,She was sobbing uncontrollably.,Она рыдала безудержно.,21886.0,And then I heard quiet sobbing,А потом я услышал тихие всхлипывания.
wept,"плакал, плакали, плакала",A2,emotion,verb,She wept with joy.,Она плакала от радости.,21886.0,She wept with joy.,Она плакала от радости.
sob,"всхлипывать, рыдать, зарыдать",A2,emotion,verb,She sobbed uncontrollably after the breakup.,Она всхлипывала безудержно после расставания.,21882.0,I didn't make him sob,Я не доводил его до слез.
"glow with happiness/pride,etc.",светиться от счастья/гордости и т.д.,A2,emotions,verb,She glowed with happiness.,Она светилась от счастья.,39868.0,She glowed with happiness.,Она светилась от счастья.
excited,"взволнованный, возбужденный, разгоряченный",A2,emotions,adjective,I am excited to see you!,Я рад тебя видеть!,21942.0,I can say I was very excited,"Я могу сказать, что я был очень взволнован."
upset,"расстроить, расстраиваться, расстраивать",A2,emotions,verb,I'm upset about the situation.,Я расстроен ситуацией.,21935.0,I'm upset about the situation.,Я расстроен ситуацией.
lonely,одинокий,A2,emotions,adjective,feeling sad and alone,чувствовать себя грустным и одиноким,21916.0,I actually have only one lonely eye,На самом деле у меня только один одинокий глаз.
sigh,"вздыхать, вздохнуть",A2,emotions,verb,She sighed in relief.,Она вздохнула с облегчением.,21894.0,My mom will start to sigh repeatedly,Моя мама будет вздыхать без остановки.
board game,настольная игра,A2,entertainment,noun,play a board game,играть в настольную игру,22613.0,Gomoku is an abstract strategy board game,Гомоку является абстрактная стратегическая настольная игра.
soap opera,"мыльная опера, сериал, телесериал",A2,entertainment,noun,I love watching soap operas.,Я люблю смотреть мыльные оперы.,22013.0,"The first project, which he participated as a composer there, was the soap opera ""Santa Barbara""","Первым проектом, в котором участвовал в качестве композитора, стал сериал «Санта-Барбара»."
cinema,кино,A2,entertainment,noun,I love going to the cinema.,Я люблю ходить в кино.,21929.0,This cinema offers you a wide cinema basefor every taste,Этот кинотеатр предлагает вам широкую базу кино на любой вкус.
circus,цирк,A2,entertainment,noun,I went to the circus.,Я пошел в цирк.,21900.0,We can't allow this circus to continue,"Мы не можем допустить, чтобы этот цирк продолжался дальше."
cartoon,"карикатура, комикс",A2,entertainment,noun,I love watching cartoons.,Я люблю смотреть мультфильмы.,21897.0,I think this cartoon is haunted,"Я думаю, в этот мультфильм вселился дух."
recycle,"перерабатывать, переработать, утилизировать",A2,environment,verb,Recycle your plastic bottles.,Переработайте свои пластиковые бутылки.,21894.0,One thing you cannot recycle is wasted time,"Один из тех отходов, который нельзя переработать - попусту потраченное время."
stretch,"простираться, растягивать, протягивать",A2,exercise,verb,Stretch your legs before running.,Разомните ноги перед бегом.,21930.0,"However, plains can stretch for 3000 m and more","Однако, в других местах равнины могут простираться на 3000 м и более."
stretching,"растяжение, растяжка, протяженность",A2,exercise,noun,I do stretching before running.,Я делаю растяжку перед бегом.,21908.0,I do stretching before running.,Я делаю растяжку перед бегом.
jog,бег трусцой,A2,exercise,verb,I jog in the park.,Я бегаю в парке.,21883.0,I'll go for a jog with you,Я собираюсь пойти на пробежку с тобой.
"eldest child/brother/daughter, etc.",старший ребенок/брат/дочь и т.д.,A2,family,noun,My eldest sister is getting married.,Моя старшая сестра выходит замуж.,23204.0,My eldest sister is getting married.,Моя старшая сестра выходит замуж.
grandson,внук,A2,family,noun,My grandson is visiting tomorrow.,Мой внук приезжает завтра.,21895.0,I wouldn't want my grandson sleeping in anything else,Я бы не хотел что бы мой внук спал на чем-нибудь еще.
granddaughter,внучка,A2,family,noun,My granddaughter is visiting me.,Моя внучка приезжает ко мне.,21891.0,Tell Rasha her granddaughter is safe,"Скажите Раше, что её внучка в безопасности."
niece,племянница,A2,family,noun,My niece is visiting tomorrow.,Моя племянница приезжает завтра.,21891.0,Beautiful flowers my niece was thrilled,"Очень красивые украшения, племянница была в восторге."
nephew,племянник,A2,family,noun,My nephew is coming over.,Мой племянник приезжает.,21885.0,She discovers that my nephew committed suicide,"И тогда она сообщила мне, что ее племянник совершил самоубийство."
grandchild,"внук, внучка, правнук",A2,family,noun,My grandchild is adorable.,Мой внук/внучка очаровательны.,21884.0,May my grandchild be a boy,"Предлагаю выпить за то, чтоб мой внук был мальчиком."
grandparent,"дед, дедушка, бабушка",A2,family,noun,My grandparent lives in the countryside.,Мой дедушка живет в деревне.,21883.0,It actually smells like a grandparent,На самом деле пахнет как бабушка и дедушка.
granddad,"дедушка, дед",A2,family,noun,My granddad loves gardening.,Мой дедушка любит садоводство.,21880.0,And my dad and granddad knew..,Мой отец и дед все это знали...
belt,"пояс, ремень, ремень безопасности",A2,fashion,noun,wearing a belt with jeans,носить ремень с джинсами,21943.0,I brought my mistletoe belt buckle,Я принес мой ремень с пряжкой из омелы.
tie,галстук,A2,fashion,noun,wear a tie,носить галстук,21926.0,Jacket and tie would probably help,"Наверное, пиджак и галстук не помешали бы."
outfit,"наряд, костюм, одежда",A2,fashion,noun,I love your outfit!,Мне нравится твой наряд!,21899.0,I love your outfit!,Мне нравится твой наряд!
sunglasses,"солнцезащитные очки, очки, солнечные очки",A2,fashion,noun,I wear sunglasses on sunny days.,Я ношу солнцезащитные очки в солнечные дни.,21897.0,That's why polarized sunglasses work,Вот почему поляризованные солнечные очки так хорошо действуют.
bracelet,"браслет, запястье",A2,fashion,noun,She wore a silver bracelet.,Она носила серебряный браслет.,21894.0,The man wore a hospital bracelet,У мужчины на руке был браслет из больницы.
handbag,"сумка, дамская сумочка, сумочка",A2,fashion,noun,She carries a handbag.,Она носит сумку.,21893.0,We've got the handbag and matching ring,У нас есть сумочка и колечко.
necklace,"ожерелье, бусы, колье",A2,fashion,noun,She wore a beautiful necklace.,Она носила красивое ожерелье.,21892.0,They put the necklace on me,"Они надели колье на меня, я пошла на красную дорожку."
earring,"серьга, сережка",A2,fashion,noun,She wore diamond earrings.,Она носила бриллиантовые серьги.,21884.0,"Look, that earring was nothing","Послушай, та серьга ничего не значит."
a balanced diet/meal,сбалансированное питание/питание,A2,food,phrase,Eat a balanced diet.,Питайтесь сбалансированной диетой.,82239.0,Eat a balanced diet.,Питайтесь сбалансированной диетой.
eat up (sth) or eat (sth) up,съесть (что-то) или съесть (что-то),A2,food,phrasal verb,Eat up your vegetables.,Съешь свои овощи.,38752.0,Eat up your vegetables.,Съешь свои овощи.
eat out,питаться вне дома,A2,food,phrasal verb,Let's eat out tonight.,Давай сегодня поедим вне дома.,25698.0,"They eat out, they see shows","Они ходят по ресторанам, они смотрят шоу»."
mineral water,"минеральная вода, минералка",A2,food,noun,I prefer mineral water.,Я предпочитаю минеральную воду.,23532.0,He must bathe in mineral water,"Он, наверное, купается в минеральной воде."
main course,"основное блюдо, второе блюдо, главное блюдо",A2,food,noun,I'll have the main course.,Я возьму основное блюдо.,23411.0,Help me with a new main course,Помоги сделать основное блюдо по новой.
fast food,"быстрое питание, фастфуд, быстрая еда",A2,food,noun,I love eating fast food.,Я люблю есть фастфуд.,23068.0,"For fast food (think McDonald's) you'll actually pay more than a cheap local meal, as fast food usually costs around 130 CZK","За фастфуд (по примеру McDonald's) вы заплатите больше, чем за дешевую местную еду, так как фастфуд обычно стоит около 130 крон."
junk food,"вредная пища, нездоровая пища",A2,food,noun,I love eating junk food.,Я люблю есть вредную пищу.,22848.0,I hate the word junk food,"Мне не очень нравится термин ""мусорная еда""."
soft drink,"безалкогольный напиток, прохладительный напиток, лимонад",A2,food,noun,I'll have a soft drink.,Я возьму безалкогольный напиток.,22407.0,When he becomes a soft drink,"А потом, превратившись в поистине народный напиток."
fresh,"свежий, бодрый",A2,food,adjective,fresh vegetables,свежие овощи,22137.0,They should contain fresh information and a fresh look at the event,Они должны содержать свежие сведения и свежий взгляд на событие.
eating,"прием пищи, еда",A2,food,verb,I enjoy eating pizza.,Я наслаждаюсь едой пиццы.,22131.0,Emotional eating is eating in response to emotional rather than physical hunger,"Эмоциональное питание - это еда в ответ на эмоциональный, а не на физический голод."
taste,"вкус, привкус",A2,food,verb,to taste the soup,попробовать суп,22131.0,A metallic taste in your mouth is a type of taste disorder,Металлический вкус во рту является одним из видов расстройства вкуса.
treat,лечить,A2,food,verb,treat yourself to a dessert,побалуй себя десертом,22117.0,"Antifungal medications treat fungal meningitis, and a combination of specific antibiotics can treat tuberculous meningitis","Противогрибковые препараты лечат грибковый менингит, а сочетание специфических антибиотиков может лечить туберкулезный."
coffee,"кофе, кафе",A2,food,noun,I drink coffee every morning.,Я пью кофе каждое утро.,22108.0,Chocolate and coffee are my weaknesses,"О, кофе и шоколад - это мои две большие слабости..."
hot chocolate,горячий шоколад,A2,food,noun,I love hot chocolate.,Я люблю горячий шоколад.,22078.0,We also tried the hot chocolate,А также нам дали попробовать горячий шоколад.
sweet,"милый, сладкий, приятный",A2,food,adjective,sweet taste,сладкий вкус,22031.0,"Happy birthday, my sweet, sweet husband","С днём рождения, мой милый, милый муж."
feed,кормить,A2,food,verb,to feed a baby,кормить ребенка,22016.0,You can feed skunks the same food that you feed your dog,"То есть скунсов можно кормить такой же едой, которой Вы кормите своего домашнего пса."
restaurant,"ресторан, трактир",A2,food,noun,Let's eat at a restaurant.,Давай поедим в ресторане.,22016.0,Other food options are Edo Japanese restaurant and Silk Road Chinese restaurant,"Помимо этого, в отеле работают японский ресторан Edо и китайский ресторан Silk Road."
bar,"бар, плитка шоколада",A2,food,noun,I'll have a beer at the bar.,Я возьму пиво в баре.,22012.0,Sealing pressure from 0.1 bar to 25 bar,"Газ может находиться под давлением от 0,1 бар до 25 бар."
beer,пиво,A2,food,noun,I'll have a beer.,Я возьму пиво.,22010.0,They said beer was liquid bread,"Помнится, ты мне говорила, что пиво - это жидкий хлеб..."
cream,"сливки, крем",A2,food,noun,whipped cream on cake,взбитые сливки на торте,22010.0,Animation advertised cream NIVEA in tubes,Анимационный ролик рекламировал крем «NIVEA» в тюбиках.
mix,"смесь, микс",A2,food,noun,fruit and nut mixture,смесь фруктов и орехов,22007.0,This mix is known as E10,"На самом деле, эта смесь называется Е10."
chocolate,"шоколад, конфета, шоколадка",A2,food,noun,I love chocolate ice cream.,Я люблю шоколадное мороженое.,22001.0,Vanilla is vanilla and chocolate is chocolate - vanila is not chocolate,"Ваниль - это ваниль, шоколад - это шоколад."
meal,"еда, питание, блюдо",A2,food,noun,Enjoy a delicious meal.,Наслаждайтесь вкусной едой.,21982.0,"Supper is the last meal of the day, with some selecting to eat another massive meal","Ужин - последняя еда дня, с некоторым выбором, чтобы съесть другую большую еду."
cooking,"приготовление еды, приготовление, приготовление пищи",A2,food,noun,I enjoy cooking dinner.,Я наслаждаюсь готовкой ужина.,21979.0,Longer cooking times and cooking at higher temperatures can increase the amount of acrylamide in foods further,Более длительное время приготовления и приготовление при высоких температурах может еще больше увеличить количество акриламида в продуктах.
raw,сырой,A2,food,adjective,raw vegetables,сырые овощи,21971.0,I just can't watch people eat raw onions,"Я просто не могу смотреть, как люди едят сырой лук."
menu,меню,A2,food,noun,Can I see the menu?,Можно мне посмотреть меню?,21966.0,"Sir, there's the salad menu, the veggie menu and the double menu","Господин, есть меню салатов, меню вегетарианское и двойное меню."
wheat,"пшеница, зерно",A2,food,noun,wheat flour,пшеничная мука,21957.0,"Because I have said before man's nature does not change, wheat will always be wheat","Поскольку ранее Я сказал, что природа человека не меняется, пшеница всегда будет пшеницей."
dried,сушеный,A2,food,adjective,dried fruit,сухофрукты,21947.0,Suit as fresh flowers or dried,"Подойдут как свежие цветки, так и сухие."
grain,зерно,A2,food,noun,a grain of rice,зерно риса,21947.0,"The origin of granite is the Latin granum, which means grain or grain","Источником гранита является грамм латинского, что означает зерно или зерно."
hunger,голод,A2,food,noun,I feel hunger.,Я чувствую голод.,21947.0,And hunger causes half of the infants deaths worldwide,Еще голод является причиной почти половины младенческих смертей во всем мире.
chewing gum,"жевательная резинка, жвачка",A2,food,noun,I bought some chewing gum.,Я купил жевательную резинку.,21945.0,"Peace, friendship and chewing gum as it is not observed","Однако мир, дружба, жвачка в результате так и не случились."
portion,порция,A2,food,noun,a small portion of fries,небольшая порция картофельных палочек,21943.0,I wish my portion were larger,"Я бы хотел, чтобы наша доля была намного больше."
fed,"ФРС, корм, федеральный",A2,food,verb,I fed the cat.,Я покормил кошку.,21943.0,I fed the cat.,Я покормил кошку.
recipe,"рецепт, рецептура",A2,food,noun,I need a recipe for lasagna.,Мне нужен рецепт для лазаньи.,21942.0,This recipe makes 4 large or 6 small biscuits,Этот рецепт грибного жюльена рассчитан на 4 большие или 6 маленьких кокотниц.
olive,"оливка, маслина, олива",A2,food,noun,olive oil,оливковое масло,21940.0,You can get olive oil produced in-state,"Вы можете получить оливковое масло, произведенное в состоянии."
delicious,"вкусный, очень вкусный, восхитительный",A2,food,adjective,a delicious meal,вкусный прием пищи,21938.0,"Moreover, this delicious ""woodcutter"" is never poisonous",К тому же этот вкусный «лесожитель» никогда не бывает ядовитым.
eaten,"съеденный, едят, есть",A2,food,verb,I have eaten lunch.,Я пообедал.,21937.0,I have eaten lunch.,Я пообедал.
thirst,"жажда, тяга",A2,food,noun,quench your thirst,утолить жажду,21935.0,Signs such as strong thirst and increased urination are usually missing,"Типичные признаки, такие как сильная жажда и повышенное мочеиспускание, как правило, отсутствуют."
bitter,горький,A2,food,adjective,bitter taste,горький вкус,21934.0,Fish containing toxic levels of histamine often taste unusually bitter or spicy,"Рыба, содержащая токсичные уровни гистамина, часто имеет необычно горький или пряный вкус."
lemon,лимон,A2,food,noun,I squeezed a lemon.,Я выжал лимон.,21931.0,"All you need are soybeans, lemon and water","Все что вам понадобиться - соевые бобы, лимон и вода."
pizza,пицца,A2,food,noun,I ordered a pizza.,Я заказал пиццу.,21926.0,"And the pizza there, worst pizza ever","И пицца там, самая ужасная пицца в мире."
filling,"заполнение, наполнение",A2,food,noun,sandwich filling,начинка для сэндвича,21925.0,Nothing gives me more pleasure Than filling an opening,"Ничто мне не приносит столько удовольствия, как заполнение открытых вакансий."
cooked,"приготовленный, вареный, готовый",A2,food,adjective,cooked vegetables,приготовленные овощи,21924.0,cooked vegetables,приготовленные овощи
beef,"говядина, телятина",A2,food,noun,I ordered a beef burger.,Я заказал гамбургер с говядиной.,21923.0,"Interestingly, beef was not very popular then","Интересно заметить, что говядина не пользовалась популярностью в те времена."
soy,соя,A2,food,noun,I like soy milk.,Мне нравится соевое молоко.,21923.0,Decaf soy latte - your favorite,Без кофеина с соевым молоком латте - твое любимое.
meat,мясо,A2,food,noun,I love grilled meat.,Я люблю жареное мясо.,21922.0,They rarely kill cattle for meat,Они редко убивают быков для употребления говядины в пищу.
dairy,молочный,A2,food,noun,dairy products are healthy,молочные продукты полезны,21921.0,Another excellent dairy food is yogurt,Еще один отличный молочный продукт - это йогурт.
drank,"пила, пили, выпил",A2,food,verb,She drank a glass of water.,Она выпила стакан воды.,21919.0,She drank a glass of water.,Она выпила стакан воды.
pork,"свинина, буженина",A2,food,noun,I love eating pork.,Я люблю есть свинину.,21919.0,"Firstly, there is no pork","В первую очередь, там не должно быть свинины."
flour,мука,A2,food,noun,wheat powder used in baking,"пшеничная мука, используемая в выпечке",21916.0,Rye flour absorbs more water than wheat,"Ржаная мука поглощает в себя больше воды, чем пшеничная."
jam,"варенье, пробка",A2,food,noun,I spread jam on my toast.,Я намазываю джем на свою тост.,21916.0,These include marmalade and jam from fruits series,"К таковым, в частности, относят мармелад и варенье из ряда фруктов."
sour,"кислый, кисловатый",A2,food,adjective,sour taste,кислый вкус,21916.0,Sucked-in waist like a man with a sour lollipop,"Так впивается в талию, как человек в кислый леденец на палочке."
coconut,"кокос, кокосовая пальма, кокосовый орех",A2,food,noun,I love coconut milk.,Я люблю кокосовое молоко.,21914.0,It is also called coconut sugar,Также известен под названием «кокосовый сахар».
ripe,"спелый, зрелый",A2,food,adjective,ripe fruit,спелый фрукт,21913.0,"This happens in a country that for the past ten years poured oil and money, like a ripe fruit","Это происходит в стране, которая на протяжении десяти лет наливалась нефтегазовыми деньгами, как спелый плод."
salad,салат,A2,food,noun,I had a salad for lunch.,Я пообедал салатом.,21913.0,I have the same salad every day,Я ем один и тот же салат каждый день.
sauce,соус,A2,food,noun,tomato sauce,томатный соус,21913.0,Heinz released its barbecue sauce in 1940,Знаменитая компания «Heinz» выпустила свой соус барбекю в 1940 году.
vinegar,уксус,A2,food,noun,apple cider vinegar,яблочный уксус,21913.0,Please bring me vinegar and oil,"Принеси мне, пожалуйста, уксус и растительное масло."
tasty,"вкусный, вкуснейший, аппетитный",A2,food,adjective,a tasty meal,вкусный прием пищи,21911.0,A tasty soup that will become a family favorite,"Очень вкусный суп, который станет самым любимым в вашей семье."
cabbage,"капуста, белокочанная капуста",A2,food,noun,I bought a cabbage for dinner.,Я купил капусту на ужин.,21910.0,Foods which ferment readily such as cabbage or beans,"Продукты, которые легко сбраживаются, такие как капуста или бобы."
boiled,"вареный, отварной",A2,food,adjective,boiled eggs,вареные яйца,21909.0,Preference should be given to boiled and steamed food,При этом предпочтение следует отдать отварной и запеченной пище.
hung,"вешал, был склонным",A2,food,verb,hungry for dinner,голодный на ужин,21909.0,I magnified those pictures and hung them on my bedroom,"Я вырезал все эти великолепные фотографии, и вешал их на стене своей спальни."
pepper,перец,A2,food,noun,add pepper to taste,добавить перец по вкусу,21908.0,Green pepper taste is sweeter than red,"По вкусу зеленый перец более сладкий, чем красный."
poured,"заливают, налил, заливается",A2,food,verb,poured milk into the bowl,налил молоко в миску,21908.0,poured milk into the bowl,налил молоко в миску
garlic,чеснок,A2,food,noun,I love the taste of garlic.,Я люблю вкус чеснока.,21907.0,We should put garlic up in case she comes back,Надо бы повесить тут чеснок на тот случай если она надумает вернуться Точно.
nut,"орех, орешек",A2,food,noun,I love eating nuts.,Я люблю есть орехи.,21907.0,Each nut has two reddish nuclei containing peanut oil,"Каждый орех имеет по два красноватых ядра, содержащих арахисовое масло."
smoked,курил,A2,food,verb,He smoked a cigarette.,Он закурил сигарету.,21907.0,This time it feels like I never smoked,"Но в то утро я ощутил лёгкость, будто и не курил никогда."
yogurt,"йогурт, простокваша, кефир",A2,food,noun,I love eating yogurt.,Я люблю есть йогурт.,21907.0,Their drinkable yogurt is very good..,"Лично я считаю, питьевой йогурт очень хороший."
mushroom,"гриб, шампиньон",A2,food,noun,I love eating mushroom soup.,Я люблю есть грибной суп.,21906.0,This mushroom grows solitarily or in groups,"Растет этот гриб как одиночно, так и группами."
canned,"консервированный, законсервированный",A2,food,adjective,canned vegetables,консервированные овощи,21906.0,"Most canned salmon is wild, rather than farmed","Кстати, консервированный лосось - почти всегда дикий, а не фермерский."
dessert,десерт,A2,food,noun,I love eating dessert after dinner.,Я люблю есть десерт после ужина.,21905.0,"Her favorite dessert, pecan pie",Ее любимый десерт - пирог с орехом пекан.
dressing,"повязка, одевание, одежда",A2,food,noun,salad dressing,заправка для салата,21905.0,salad dressing,заправка для салата
paste,"тесто, клейстер, паста; клеить, склеивать",A2,food,noun,spread on bread,намазывать на хлеб,21904.0,Do not use tooth paste intended for humans,Ни в коем случае не используйте зубную пасту для людей.
boil,"нарыв, кипеть",A2,food,verb,boil water for pasta,кипятить воду для пасты,21903.0,"If needed, boil the water","И если это необходимо, то доливать воду."
tasted,пробовал,A2,food,verb,I tasted the soup.,Я попробовал суп.,21903.0,I just tasted an amazing caterer,Я только что пробовал восхитительную еду от одного поставщика провизии.
tuna,тунец,A2,food,noun,I had tuna for lunch.,Я пообедал тунцом.,21903.0,Italy accustomed to import frozen tuna to produce canned tuna,Италия привыкла импортировать замороженный тунец для производства консервированного тунца.
slice,ломтик,A2,food,noun,a slice of pizza,кусок пиццы,21903.0,"Gregor had declared inedible two days earlier, a slice of dry bread, and a slice of salted bread smeared with butter","Грегор объявил несъедобным два дня ранее, ломтик сухого хлеба, и ломтик соленого хлеба смазывают сливочным маслом."
pour,наливать,A2,food,verb,to pour milk into a glass,налить молоко в стакан,21902.0,So drink/ pour the coffee shortly after you finished brewing,"Так что пить/ наливать кофе вскоре после того, как вы закончили заваривать."
barley,ячмень,A2,food,noun,barley soup,ячменный суп,21902.0,"Rice, quinoa, risotto, barley, and other starches symbolize abundance since they swell when cooked","Рис, квиноа, ризотто, ячмень и другие крахмалы символизируют изобилие, так как они разбухают при приготовлении."
cookie,печенье,A2,food,noun,I ate a cookie.,Я съел печенье.,21901.0,This cookie contains no personal information and expires 1 now,Это печенье не содержит никакой личной информации и истекает 1 в настоящее время.
peel,"кожура, корка, пилинг",A2,food,verb,Peel the banana.,Очистите банан.,21901.0,Peel the banana.,Очистите банан.
pie,"пирог, пирожок, торт",A2,food,noun,I ate a delicious pie.,Я съел вкусный пирог.,21901.0,We're having lemon meringue pie,У нас в меню пирог с лимонным кремом и меренгой.
shrimp,креветка,A2,food,noun,I love grilled shrimp.,Я люблю жареных креветок.,21901.0,And a big shrimp is a jumbo shrimp,А большая креветка - гигантская креветка.
wrap,"обернуть, завернуть, заворачивать",A2,food,verb,wrap the sandwich,завернуть бутерброд,21901.0,wrap the sandwich,завернуть бутерброд
ginger,имбирь,A2,food,noun,ginger tea,имбирный чай,21900.0,"Native to southern China, ginger grows in warm climates worldwide","Уроженец южной части Китая, имбирь растёт в теплом климате по всему миру."
lamb,"ягненок, агнец, овечка",A2,food,noun,roast lamb for dinner,жареная баранина на ужин,21900.0,Freedom: A well armed lamb opposes the outcome,Свобода - это когда хорошо вооруженный ягненок оспаривает результат такого голосования.
lime,известь,A2,food,noun,lime juice,лимонный сок,21900.0,Their taste is sweeter than lime,"Их вкус более сладкий, чем у лайма."
sweets,"конфеты, помадки",A2,food,noun,I love eating sweets.,Я люблю есть сладости.,21900.0,"She cannot tolerate wholemeal products, sweets and milk","Она не может терпеть продукты из непросеянной муки, конфеты и молоко."
spinach,шпинат,A2,food,noun,I love eating spinach salad.,Я люблю есть салат из шпината.,21899.0,"I want to eat broccoli, spinach and carrots","Я хочу, чтобы они ели брокколи, шпинат и морковь."
